word,meaning
Lịịụmgbọ ; Palm fruit,
Lelei; Sign/symbol/ to recognise,
Lẹịmọ; to deceive,
Liimọ; To erase,
Lọọ ; To massage,
Mịe; To do/act,
Maịn; To disappear,
Mịnị; swallow,
Moụn; Hunger,
Mamụ; Two,
Nini; Nose,
Naa; To hear,
Nama; Meat/Animal,
Nimi; To know/understand,
Noin; Four,
Nia; Thank you/welcome,
Ọdọgụma ; Duck,
Ọkpọ; world,
Ọlaowei; Chief,
Ọkpọkpọ; Hawk,
Ọdọzọ ; Hundred,
Ọdụdụ; Heart,
Pegi; Bat,
Pẹrẹ; Riches,
Pẹị; Butcher,
Poi; Listen,
Pọọ; To wash,
Pulou; Oil,
Arụ; Canoe,
Fin-arụ; Airplay,
Ogbo-arụ; Car,
Abadị-arụ; Ship,
Rag;  Fish Trap,
Arere; Profit,
Ere; Woman,
Ẹrẹ; Name,
Erein; Day,
Sala; Comb,
"Sẹị, dance",
Sịlị; Money,
Sou; Dig/uproot/harvest,
Sọụn; worm,
Suu; Lazy,
Tịbị; Head,
Tịn; Tree,
Tụnọụn;Flag,
Taa; Wife,
Tọrụgịlasị; Eyeglass,
Ụraụ; Sun,
Ụtan; Fish trap,
Ụsịa; shout,
Ụruka; Ring,
Ụdẹ; Pomade,
Ụbị; Bush pig,
Warị; House,
Waị; Turn,
Wẹrị; Keep,
Wẹnị; Walk/Work,
Warịkiri; Floor,
Weri; To abuse,
Yọwẹị; Paddle,
Yaịn; Break,
Yẹrị; sell,
Yereyere; Red,
Yei; Husband,
Yenghi; Mother,
Zongo/ungu; Jug,
Zaụ; small,
Zibaị; Birthday,
Zii; To give birth,
Zoru; Play,
Zuu; To fetch or off-load,
Agbaka; shoe,
Gbein; Throw,
Gba; To tell,
Gbanaịn; Agree,
Agba; Calabash,
Gbanran; To fry,
Gbọlụ; punch,
Akpa;Bag,
Kpapụ; Scissor,
Ịkpaịkpaị; Grasshopper,
Ịkpakị; Rash,
Kpaịn; Silent,
Kpun;To pull/draw,
Kpẹtị; Discuss,
